"","geoCode","/m/012gx2"
"Alabama","US-AL",23
"Alaska","US-AK",0
"Arizona","US-AZ",30
"Arkansas","US-AR",19
"California","US-CA",21
"Colorado","US-CO",24
"Connecticut","US-CT",30
"Delaware","US-DE",37
"District of Columbia","US-DC",100
"Florida","US-FL",26
"Georgia","US-GA",23
"Hawaii","US-HI",19
"Idaho","US-ID",24
"Illinois","US-IL",26
"Indiana","US-IN",25
"Iowa","US-IA",17
"Kansas","US-KS",20
"Kentucky","US-KY",17
"Louisiana","US-LA",13
"Maine","US-ME",32
"Maryland","US-MD",27
"Massachusetts","US-MA",29
"Michigan","US-MI",30
"Minnesota","US-MN",26
"Mississippi","US-MS",20
"Missouri","US-MO",28
"Montana","US-MT",31
"Nebraska","US-NE",33
"Nevada","US-NV",26
"New Hampshire","US-NH",28
"New Jersey","US-NJ",31
"New Mexico","US-NM",25
"New York","US-NY",30
"North Carolina","US-NC",26
"North Dakota","US-ND",0
"Ohio","US-OH",24
"Oklahoma","US-OK",24
"Oregon","US-OR",26
"Pennsylvania","US-PA",37
"Rhode Island","US-RI",37
"South Carolina","US-SC",26
"South Dakota","US-SD",0
"Tennessee","US-TN",25
"Texas","US-TX",21
"Utah","US-UT",14
"Vermont","US-VT",0
"Virginia","US-VA",26
"Washington","US-WA",30
"West Virginia","US-WV",42
"Wisconsin","US-WI",30
"Wyoming","US-WY",0
