"","geoCode","/m/012gx2"
"Alabama","US-AL",35
"Alaska","US-AK",49
"Arizona","US-AZ",54
"Arkansas","US-AR",36
"California","US-CA",53
"Colorado","US-CO",49
"Connecticut","US-CT",54
"Delaware","US-DE",71
"District of Columbia","US-DC",100
"Florida","US-FL",58
"Georgia","US-GA",34
"Hawaii","US-HI",46
"Idaho","US-ID",40
"Illinois","US-IL",70
"Indiana","US-IN",42
"Iowa","US-IA",44
"Kansas","US-KS",43
"Kentucky","US-KY",38
"Louisiana","US-LA",31
"Maine","US-ME",58
"Maryland","US-MD",52
"Massachusetts","US-MA",58
"Michigan","US-MI",44
"Minnesota","US-MN",51
"Mississippi","US-MS",38
"Missouri","US-MO",48
"Montana","US-MT",51
"Nebraska","US-NE",41
"Nevada","US-NV",43
"New Hampshire","US-NH",58
"New Jersey","US-NJ",44
"New Mexico","US-NM",43
"New York","US-NY",51
"North Carolina","US-NC",39
"North Dakota","US-ND",38
"Ohio","US-OH",41
"Oklahoma","US-OK",41
"Oregon","US-OR",61
"Pennsylvania","US-PA",51
"Rhode Island","US-RI",62
"South Carolina","US-SC",38
"South Dakota","US-SD",37
"Tennessee","US-TN",39
"Texas","US-TX",36
"Utah","US-UT",37
"Vermont","US-VT",77
"Virginia","US-VA",49
"Washington","US-WA",57
"West Virginia","US-WV",39
"Wisconsin","US-WI",47
"Wyoming","US-WY",50
