"","Joe Biden"
"2019-12-29 03:00:00",1
"2020-01-05 03:00:00",1
"2020-01-12 03:00:00",1
"2020-01-19 03:00:00",1
"2020-01-26 03:00:00",1
"2020-02-02 03:00:00",2
"2020-02-09 03:00:00",2
"2020-02-16 03:00:00",2
"2020-02-23 03:00:00",2
"2020-03-01 03:00:00",16
"2020-03-08 03:00:00",8
"2020-03-15 03:00:00",5
"2020-03-22 03:00:00",4
"2020-03-29 03:00:00",2
"2020-04-05 03:00:00",4
"2020-04-12 03:00:00",4
"2020-04-19 03:00:00",3
"2020-04-26 03:00:00",5
"2020-05-03 03:00:00",3
"2020-05-10 03:00:00",3
"2020-05-17 03:00:00",4
"2020-05-24 03:00:00",4
"2020-05-31 03:00:00",4
"2020-06-07 03:00:00",4
"2020-06-14 03:00:00",4
"2020-06-21 03:00:00",5
"2020-06-28 03:00:00",4
"2020-07-05 03:00:00",4
"2020-07-12 03:00:00",4
"2020-07-19 03:00:00",5
"2020-07-26 03:00:00",5
"2020-08-02 03:00:00",8
"2020-08-09 03:00:00",15
"2020-08-16 03:00:00",14
"2020-08-23 03:00:00",8
"2020-08-30 03:00:00",8
"2020-09-06 03:00:00",6
"2020-09-13 03:00:00",8
"2020-09-20 03:00:00",8
"2020-09-27 03:00:00",25
"2020-10-04 03:00:00",14
"2020-10-11 03:00:00",15
"2020-10-18 03:00:00",20
"2020-10-25 03:00:00",18
"2020-11-01 03:00:00",100
"2020-11-08 03:00:00",44
"2020-11-15 03:00:00",11
"2020-11-22 03:00:00",9
"2020-11-29 03:00:00",7
"2020-12-06 03:00:00",6
"2020-12-13 03:00:00",6
"2020-12-20 03:00:00",4
"2020-12-27 03:00:00",4
"2021-01-03 03:00:00",10
"2021-01-10 03:00:00",9
"2021-01-17 03:00:00",41
"2021-01-24 03:00:00",17
"2021-01-31 03:00:00",10
"2021-02-07 03:00:00",7
"2021-02-14 03:00:00",7
"2021-02-21 03:00:00",8
"2021-02-28 03:00:00",7
"2021-03-07 03:00:00",8
"2021-03-14 03:00:00",8
"2021-03-21 03:00:00",8
"2021-03-28 03:00:00",5
"2021-04-04 03:00:00",5
"2021-04-11 03:00:00",4
"2021-04-18 03:00:00",5
"2021-04-25 03:00:00",8
"2021-05-02 03:00:00",4
"2021-05-09 03:00:00",5
"2021-05-16 03:00:00",4
"2021-05-23 03:00:00",4
"2021-05-30 03:00:00",4
"2021-06-06 03:00:00",3
"2021-06-13 03:00:00",5
"2021-06-20 03:00:00",4
"2021-06-27 03:00:00",3
"2021-07-04 03:00:00",3
"2021-07-11 03:00:00",3
"2021-07-18 03:00:00",3
"2021-07-25 03:00:00",3
"2021-08-01 03:00:00",3
"2021-08-08 03:00:00",3
"2021-08-15 03:00:00",9
"2021-08-22 03:00:00",8
"2021-08-29 03:00:00",7
"2021-09-05 03:00:00",7
"2021-09-12 03:00:00",6
"2021-09-19 03:00:00",4
"2021-09-26 03:00:00",4
"2021-10-03 03:00:00",4
"2021-10-10 03:00:00",4
"2021-10-17 03:00:00",4
"2021-10-24 03:00:00",5
"2021-10-31 03:00:00",6
"2021-11-07 03:00:00",6
"2021-11-14 03:00:00",5
"2021-11-21 03:00:00",4
"2021-11-28 03:00:00",3
"2021-12-05 03:00:00",3
"2021-12-12 03:00:00",3
"2021-12-19 03:00:00",4
"2021-12-26 03:00:00",3
"2022-01-02 03:00:00",3
"2022-01-09 03:00:00",3
"2022-01-16 03:00:00",4
"2022-01-23 03:00:00",4
"2022-01-30 03:00:00",2
"2022-02-06 03:00:00",5
"2022-02-13 03:00:00",3
"2022-02-20 03:00:00",7
"2022-02-27 03:00:00",8
"2022-03-06 03:00:00",5
"2022-03-13 03:00:00",4
"2022-03-20 03:00:00",4
"2022-03-27 03:00:00",4
"2022-04-03 03:00:00",3
"2022-04-10 03:00:00",3
"2022-04-17 03:00:00",3
"2022-04-24 03:00:00",3
"2022-05-01 03:00:00",3
"2022-05-08 03:00:00",3
"2022-05-15 03:00:00",3
"2022-05-22 03:00:00",3
"2022-05-29 03:00:00",3
"2022-06-05 03:00:00",4
"2022-06-12 03:00:00",4
"2022-06-19 03:00:00",5
"2022-06-26 03:00:00",3
"2022-07-03 03:00:00",4
"2022-07-10 03:00:00",4
"2022-07-17 03:00:00",6
"2022-07-24 03:00:00",4
"2022-07-31 03:00:00",3
"2022-08-07 03:00:00",3
"2022-08-14 03:00:00",3
"2022-08-21 03:00:00",7
"2022-08-28 03:00:00",5
"2022-09-04 03:00:00",3
"2022-09-11 03:00:00",3
"2022-09-18 03:00:00",4
"2022-09-25 03:00:00",3
"2022-10-02 03:00:00",4
"2022-10-09 03:00:00",5
"2022-10-16 03:00:00",3
"2022-10-23 03:00:00",2
"2022-10-30 03:00:00",4
"2022-11-06 03:00:00",3
"2022-11-13 03:00:00",3
"2022-11-20 03:00:00",2
"2022-11-27 03:00:00",2
"2022-12-04 03:00:00",2
"2022-12-11 03:00:00",2
"2022-12-18 03:00:00",2
"2022-12-25 03:00:00",2
"2023-01-01 03:00:00",2
"2023-01-08 03:00:00",3
"2023-01-15 03:00:00",3
"2023-01-22 03:00:00",2
"2023-01-29 03:00:00",2
"2023-02-05 03:00:00",4
"2023-02-12 03:00:00",3
"2023-02-19 03:00:00",3
"2023-02-26 03:00:00",2
"2023-03-05 03:00:00",2
"2023-03-12 03:00:00",3
"2023-03-19 03:00:00",2
"2023-03-26 03:00:00",2
"2023-04-02 03:00:00",2
"2023-04-09 03:00:00",2
"2023-04-16 03:00:00",2
"2023-04-23 03:00:00",4
"2023-04-30 03:00:00",3
"2023-05-07 03:00:00",3
"2023-05-14 03:00:00",2
"2023-05-21 03:00:00",2
"2023-05-28 03:00:00",4
"2023-06-04 03:00:00",3
"2023-06-11 03:00:00",3
"2023-06-18 03:00:00",4
"2023-06-25 03:00:00",4
"2023-07-02 03:00:00",3
"2023-07-09 03:00:00",3
"2023-07-16 03:00:00",3
"2023-07-23 03:00:00",3
"2023-07-30 03:00:00",2
"2023-08-06 03:00:00",2
"2023-08-13 03:00:00",3
"2023-08-20 03:00:00",4
"2023-08-27 03:00:00",3
"2023-09-03 03:00:00",2
"2023-09-10 03:00:00",3
"2023-09-17 03:00:00",2
"2023-09-24 03:00:00",3
"2023-10-01 03:00:00",3
"2023-10-08 03:00:00",3
"2023-10-15 03:00:00",4
"2023-10-22 03:00:00",3
"2023-10-29 03:00:00",3
"2023-11-05 03:00:00",2
"2023-11-12 03:00:00",4
"2023-11-19 03:00:00",3
"2023-11-26 03:00:00",2
"2023-12-03 03:00:00",3
"2023-12-10 03:00:00",3
"2023-12-17 03:00:00",2
"2023-12-24 03:00:00",2
"2023-12-31 03:00:00",2
"2024-01-07 03:00:00",2
"2024-01-14 03:00:00",3
"2024-01-21 03:00:00",4
"2024-01-28 03:00:00",3
"2024-02-04 03:00:00",4
"2024-02-11 03:00:00",4
"2024-02-18 03:00:00",4
"2024-02-25 03:00:00",3
"2024-03-03 03:00:00",7
"2024-03-10 03:00:00",4
"2024-03-17 03:00:00",2
"2024-03-24 03:00:00",3
"2024-03-31 03:00:00",4
"2024-04-07 03:00:00",3
"2024-04-14 03:00:00",2
"2024-04-21 03:00:00",3
"2024-04-28 03:00:00",2
"2024-05-05 03:00:00",3
"2024-05-12 03:00:00",3
"2024-05-19 03:00:00",3
