geoName,geoCode,Joe Biden
Alabama,US-AL,45
Alaska,US-AK,40
Arizona,US-AZ,49
Arkansas,US-AR,45
California,US-CA,35
Colorado,US-CO,44
Connecticut,US-CT,51
Delaware,US-DE,90
District of Columbia,US-DC,100
Florida,US-FL,47
Georgia,US-GA,38
Hawaii,US-HI,36
Idaho,US-ID,52
Illinois,US-IL,41
Indiana,US-IN,51
Iowa,US-IA,49
Kansas,US-KS,47
Kentucky,US-KY,49
Louisiana,US-LA,37
Maine,US-ME,51
Maryland,US-MD,49
Massachusetts,US-MA,45
Michigan,US-MI,46
Minnesota,US-MN,50
Mississippi,US-MS,44
Missouri,US-MO,46
Montana,US-MT,58
Nebraska,US-NE,46
Nevada,US-NV,42
New Hampshire,US-NH,63
New Jersey,US-NJ,50
New Mexico,US-NM,65
New York,US-NY,38
North Carolina,US-NC,41
North Dakota,US-ND,59
Ohio,US-OH,42
Oklahoma,US-OK,46
Oregon,US-OR,40
Pennsylvania,US-PA,53
Rhode Island,US-RI,42
South Carolina,US-SC,46
South Dakota,US-SD,60
Tennessee,US-TN,47
Texas,US-TX,39
Utah,US-UT,46
Vermont,US-VT,47
Virginia,US-VA,45
Washington,US-WA,40
West Virginia,US-WV,51
Wisconsin,US-WI,50
Wyoming,US-WY,44
